"","Date","BTC_price","oil_price"
"1","2015-02-17",213.655502,62.53
"2","2015-02-18",207.33989,60.53
"3","2015-02-19",211.479492,60.21
"4","2015-02-20",214.254715,60.22
"5","2015-02-23",210.811859,58.9
"6","2015-02-24",210.543259,58.66
"7","2015-02-25",209.003693,61.63
"8","2015-02-26",211.07579,60.05
"9","2015-02-27",226.753616,62.58
"10","2015-03-02",246.68457,59.54
"11","2015-03-03",251.924515,61.02
"12","2015-03-04",246.539688,60.55
"13","2015-03-05",250.388046,60.48
"14","2015-03-06",251.519867,59.73
"15","2015-03-09",267.31308,58.53
"16","2015-03-10",272.494629,56.39
"17","2015-03-11",280.981232,57.54
"18","2015-03-12",277.013,57.08
"19","2015-03-13",271.956726,55.01
"20","2015-03-16",274.922424,53.94
"21","2015-03-17",269.471466,53.51
"22","2015-03-18",236.285614,55.91
"23","2015-03-19",244.6353,54.43
"24","2015-03-20",241.912186,55.32
"25","2015-03-23",243.753983,55.92
"26","2015-03-24",225.275177,55.11
"27","2015-03-25",224.591324,56.48
"28","2015-03-26",228.367172,59.19
"29","2015-03-27",226.90274,56.41
"30","2015-03-30",228.598083,56.29
"31","2015-03-31",227.396652,55.11
"32","2015-04-01",229.614639,57.1
"33","2015-04-02",232.776703,54.95
"34","2015-04-06",233.688843,58.12
"35","2015-04-07",233.992599,59.1
"36","2015-04-08",227.250977,55.55
"37","2015-04-09",228.503372,56.57
"38","2015-04-10",222.667435,57.87
"39","2015-04-13",212.45578,57.93
"40","2015-04-14",205.879745,58.43
"41","2015-04-15",209.679611,63.32
"42","2015-04-16",212.487686,63.98
"43","2015-04-17",206.276733,63.45
"44","2015-04-20",209.012756,63.45
"45","2015-04-21",219.119858,62.08
"46","2015-04-22",218.386642,62.73
"47","2015-04-23",218.703293,64.85
"48","2015-04-24",212.601593,65.28
"49","2015-04-27",210.837692,64.83
"50","2015-04-28",205.940552,64.64
"51","2015-04-29",203.229233,65.84
"52","2015-04-30",210.65567,66.78
"53","2015-05-01",207.231888,66.46
"54","2015-05-04",214.423615,66.45
"55","2015-05-05",211.218353,67.52
"56","2015-05-06",202.665375,67.77
"57","2015-05-07",211.076126,65.54
"58","2015-05-08",217.793167,65.39
"59","2015-05-11",217.279495,64.91
"60","2015-05-12",214.952301,66.86
"61","2015-05-13",208.353455,66.81
"62","2015-05-14",207.832458,66.59
"63","2015-05-15",207.497162,66.81
"64","2015-05-18",205.925278,66.27
"65","2015-05-19",208.192276,64.02
"66","2015-05-20",210.808044,65.03
"67","2015-05-21",211.888,66.54
"68","2015-05-22",218.200638,65.37
"69","2015-05-26",217.837387,63.72
"70","2015-05-27",217.770752,62.06
"71","2015-05-28",216.613144,62.58
"72","2015-05-29",215.796844,65.56
"73","2015-06-01",204.125992,64.88
"74","2015-06-02",202.568405,65.49
"75","2015-06-03",200.616394,63.8
"76","2015-06-04",200.182053,62.03
"77","2015-06-05",202.458817,63.31
"78","2015-06-08",202.597092,62.69
"79","2015-06-09",202.840958,64.88
"80","2015-06-10",202.319382,65.7
"81","2015-06-11",204.27301,65.11
"82","2015-06-12",204.101883,63.87
"83","2015-06-15",210.079834,63.95
"84","2015-06-16",223.236053,63.7
"85","2015-06-17",219.420822,63.87
"86","2015-06-18",218.984268,64.26
"87","2015-06-19",215.416992,63.02
"88","2015-06-22",217.746628,63.34
"89","2015-06-23",218.628967,64.45
"90","2015-06-24",214.649704,63.49
"91","2015-06-25",216.746109,63.2
"92","2015-06-26",218.176437,63.26
"93","2015-06-29",229.214447,62.01
"94","2015-06-30",236.299286,63.59
"95","2015-07-01",234.364304,62.01
"96","2015-07-02",230.43306,62.07
"97","2015-07-06",243.55423,56.54
"98","2015-07-07",241.874435,56.85
"99","2015-07-08",244.633667,57.05
"100","2015-07-09",243.380936,58.61
"101","2015-07-10",255.258499,58.73
"102","2015-07-13",265.963013,57.85
"103","2015-07-14",261.235901,58.51
"104","2015-07-15",261.365234,57.12
"105","2015-07-16",255.573013,56.92
"106","2015-07-17",258.125031,57.1
"107","2015-07-20",257.576385,56.65
"108","2015-07-21",252.247833,57.04
"109","2015-07-22",253.796555,56.13
"110","2015-07-23",251.296326,55.27
"111","2015-07-24",262.357117,54.62
"112","2015-07-27",264.812408,53.47
"113","2015-07-28",266.11261,53.3
"114","2015-07-29",263.743164,53.38
"115","2015-07-30",263.024017,53.31
"116","2015-07-31",259.102478,52.21
"117","2015-08-03",256.828308,49.52
"118","2015-08-04",262.100708,49.99
"119","2015-08-05",258.536163,49.59
"120","2015-08-06",255.083786,49.52
"121","2015-08-07",254.840027,48.61
"122","2015-08-10",240.143463,50.41
"123","2015-08-11",244.892654,49.18
"124","2015-08-12",238.816574,49.66
"125","2015-08-13",236.694443,49.22
"126","2015-08-14",239.2005,49.19
"127","2015-08-17",232.977524,48.74
"128","2015-08-18",191.402786,48.81
"129","2015-08-19",203.925873,47.16
"130","2015-08-20",209.516602,46.62
"131","2015-08-21",204.151154,45.46
"132","2015-08-24",181.774612,42.69
"133","2015-08-25",191.836044,43.21
"134","2015-08-26",199.215775,43.14
"135","2015-08-27",199.972412,47.56
"136","2015-08-28",207.010193,50.05
"137","2015-08-31",204.967926,54.15
"138","2015-09-01",201.966354,49.56
"139","2015-09-02",204.516983,50.5
"140","2015-09-03",204.264526,50.68
"141","2015-09-04",206.489731,49.61
"142","2015-09-08",217.409195,49.52
"143","2015-09-09",212.346649,47.58
"144","2015-09-10",211.378311,48.89
"145","2015-09-11",211.80928,48.14
"146","2015-09-14",203.983368,46.37
"147","2015-09-15",204.38765,47.75
"148","2015-09-16",202.950928,49.75
"149","2015-09-17",201.570038,49.08
"150","2015-09-18",206.008499,47.47
"151","2015-09-21",202.990082,48.92
"152","2015-09-22",207.427597,49.08
"153","2015-09-23",205.885559,47.75
"154","2015-09-24",209.794266,48.17
"155","2015-09-25",210.175186,48.6
"156","2015-09-28",213.006149,47.34
"157","2015-09-29",210.369736,48.23
"158","2015-09-30",211.352844,48.37
"159","2015-10-01",212.286865,47.69
"160","2015-10-02",211.717529,48.13
"161","2015-10-05",214.723526,49.25
"162","2015-10-06",218.392654,51.92
"163","2015-10-07",216.241547,51.33
"164","2015-10-08",214.751404,53.05
"165","2015-10-09",214.784714,52.65
"166","2015-10-12",216.111359,49.86
"167","2015-10-13",219.193527,49.24
